City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
511,Buala,-8.145,159.5921,81.09,79,31,8.5,SB,2022-08-02 21:24:01,light rain
512,Verkhoyansk,67.5447,133.385,52.34,75,99,5.21,RU,2022-08-02 21:24:02,overcast clouds
513,Labuan,5.2767,115.2417,77.36,100,20,0.0,MY,2022-08-02 21:24:02,few clouds
514,Taunggyi,20.7833,97.0333,63.37,98,100,3.74,MM,2022-08-02 21:24:03,overcast clouds
515,Big Rapids,43.6981,-85.4837,81.09,39,0,9.22,US,2022-08-02 21:24:03,clear sky
516,Chama,47.1821,8.4636,73.35,61,99,1.14,CH,2022-08-02 21:24:04,overcast clouds
517,Camacari,-12.6975,-38.3242,78.57,79,12,5.61,BR,2022-08-02 21:24:05,few clouds
518,La Ronge,55.1001,-105.2842,57.45,82,100,19.57,CA,2022-08-02 21:23:05,overcast clouds
519,Bandar,2.05,99.75,72.28,96,100,2.35,ID,2022-08-02 21:24:05,overcast clouds
520,Gornyye Klyuchi,45.25,133.5,71.56,97,99,4.12,RU,2022-08-02 21:24:06,overcast clouds
521,Pokhara,28.2333,83.9833,71.62,92,100,1.54,NP,2022-08-02 21:24:06,overcast clouds
522,Antofagasta,-23.65,-70.4,58.28,76,15,5.39,CL,2022-08-02 21:24:07,few clouds
523,Lundazi,-12.2929,33.1782,59.95,72,3,9.24,ZM,2022-08-02 21:24:07,clear sky
524,Suez,29.9737,32.5263,80.38,72,9,10.33,EG,2022-08-02 21:24:07,clear sky
525,Itaituba,-4.2761,-55.9836,78.96,89,20,0.0,BR,2022-08-02 21:24:08,few clouds
526,Urubicha,-15.3833,-62.95,93.81,25,37,5.48,BO,2022-08-02 21:24:08,scattered clouds
527,Ocean City,39.2776,-74.5746,89.85,69,65,7.0,US,2022-08-02 21:23:31,broken clouds
528,Amapa,1.0,-52.0,77.22,88,99,4.25,BR,2022-08-02 21:24:09,moderate rain
529,Yangambi,0.8102,24.4336,72.03,75,56,1.74,CD,2022-08-02 21:24:09,broken clouds
530,Cockburn Town,21.4612,-71.1419,85.96,66,40,11.5,TC,2022-08-02 21:24:10,scattered clouds
531,Linhai,28.85,121.1167,76.46,97,13,0.87,CN,2022-08-02 21:24:10,few clouds
532,Todos Santos,23.45,-110.2167,95.05,74,42,7.78,MX,2022-08-02 21:24:10,scattered clouds
